dataset,nodes,edges,frames,divisions,div_rate,annot_frac,starts,ends,dt_gap,disp_p50,disp_p90,disp_max
44b6_97725144,225,221,100,0,0.0,0.00628948398278079,4,4,0,2.333728575156074,4.89189779763437,8.75089281159357
44b6_996155de,380,377,100,1,0.002631578947368421,0.05017826488841939,3,4,0,1.21875,2.03125,5.170718337426629
44b6_9be80b04,222,220,100,1,0.0045045045045045045,0.0038357205798503725,2,3,0,0.9084026158592896,2.0352726677397066,4.908737426772795
44b6_9bfa6a0a,264,259,100,0,0.0,0.004105243515581265,5,5,0,1.284675299443404,2.0714766773970688,5.87308811976289
44b6_a21120c2,296,286,85,2,0.006756756756756757,0.012847222222222222,10,12,0,2.943527526917351,4.798154199212695,8.540917141911635
44b6_a2bb48bb,416,410,100,0,0.0,0.0068632141619784535,6,6,0,1.7235727791422095,2.642041602613163,9.165417765301264
44b6_aaf8b0ea,209,206,100,1,0.004784688995215311,0.009457441513190641,3,4,0,1.4647552056572457,2.1877232028983924,3.8540258983302125
44b6_abf82518,96,94,58,0,0.0,0.003477756846833792,2,2,0,2.03125,3.5648292823780494,5.265601817456386
44b6_b2c44266,170,168,100,0,0.0,0.002846188618593983,2,2,0,0.9084026158592896,1.86167137607581,3.494694639736067
44b6_c15fded2,104,102,54,0,0.0,0.005052222492105902,2,2,0,2.632800908728193,4.601419519189684,13.96105772541966
44b6_c50204e0,333,325,100,2,0.006006006006006006,0.007073367602701899,8,10,0,1.6750116604071745,3.083192790285825,6.761347521944128
44b6_c771cb04,227,223,100,0,0.0,0.00425531914893617,4,4,0,1.6750116604071745,2.361805080855938,7.632744530147724
44b6_c8e2a523,168,164,81,1,0.005952380952380952,0.005068790731354091,4,5,0,2.03125,4.021669817998489,9.165417765301264
44b6_c96cfa10,629,616,100,0,0.0,0.013604118003287482,13,13,0,1.8168052317185792,2.7252078475778685,5.041429918683786
44b6_cf2536e8,76,75,76,0,0.0,0.0013202466776687223,1,1,0,0.9084026158592896,1.9387948000371245,3.471001521535247
44b6_cf8fed6b,191,188,94,0,0.0,0.004367810834915045,3,3,0,2.4375,4.541261684356273,14.172245378291331
44b6_d29c9ab2,1353,1328,100,0,0.0,0.03555380370516358,25,25,0,1.7235727791422095,3.2575876630738847,12.795262795269194
44b6_d2f34f90,283,281,100,2,0.007067137809187279,0.01175542078591011,2,4,0,1.284675299443404,2.1877232028983924,6.214430032191206
44b6_d5e7d891,906,893,100,2,0.002207505518763797,0.020201569746699965,13,15,0,1.6750116604071745,2.4375,8.492471390149042
44b6_d754aa59,72,70,67,1,0.013888888888888888,0.013923805840263006,2,3,0,3.040096626753827,6.337790171169292,15.351735447499086
44b6_d78e09d9,463,451,100,0,0.0,0.02080057504829507,12,12,0,2.333728575156074,3.65625,5.92902355472636
44b6_db3c847b,165,162,87,0,0.0,0.01098315915596086,3,3,0,1.925940896043571,3.367148410067758,5.28125
44b6_ddf577ad,659,647,100,0,0.0,0.012319599192402603,12,12,0,1.6750116604071745,2.4375,6.147678042358757
44b6_deabac95,126,124,83,1,0.007936507936507936,0.009007076989062834,2,3,0,2.0714766773970688,3.65625,6.761347521944128
44b6_e28840c6,311,309,100,2,0.006430868167202572,0.004164100366869293,2,4,0,0.8125,1.86167137607581,6.214430032191206
44b6_e29f0176,51,50,51,0,0.0,0.003932454314133704,1,1,0,3.7782013703158857,5.883104813715466,18.69191523928193
44b6_e31261b4,116,113,82,0,0.0,0.0015921818381464806,3,3,0,2.1877232028983924,3.5508023538496527,7.289895618251334
44b6_e35b117d,270,266,100,0,0.0,0.00942704514507175,4,4,0,1.7235727791422095,3.116418426383248,7.198768340834423
44b6_e57ff5c6,193,186,100,0,0.0,0.009500836861277936,7,7,0,3.287841406064822,7.819437560229773,13.350737339188424
44b6_eb2880fc,390,379,100,1,0.002564102564102564,0.008110806089343649,11,12,0,1.86167137607581,3.3890818671052574,9.699085813879574
44b6_f28707c6,63,61,63,0,0.0,0.0033769296740994853,2,2,0,3.300390601883359,7.198768340834423,12.955490209270353
6bba_05b6850b,861,845,100,0,0.0,0.13533480037723986,16,16,0,0.9084026158592896,2.6012692214570947,9.95934117110665
6bba_05db0fb1,1229,1183,100,3,0.0024410089503661514,0.017607449856733525,46,49,0,1.6750116604071745,3.6198542272253333,9.834271229989541
6bba_062c8d37,930,898,99,1,0.001075268817204301,0.15422885572139303,32,33,0,1.8168052317185792,4.487177913232324,9.834271229989541
6bba_07477033,613,602,100,0,0.0,0.12675765095119934,11,11,0,1.4647552056572457,3.374565944310468,7.845990715805111
6bba_07e24132,359,345,100,2,0.005571030640668524,0.01670933209215732,14,16,0,1.6750116604071745,3.48521739245574,10.033634841123131
6bba_085bf656,1198,1168,100,1,0.0008347245409015025,0.14155736736381896,30,31,0,2.333728575156074,4.021669817998489,9.065839901796192
6bba_09961292,1950,1871,100,4,0.0020512820512820513,0.06266670951569882,79,83,0,1.21875,2.8726212985703494,8.384905522723557
6bba_0c7fa718,704,659,94,0,0.0,0.051575091575091575,45,45,0,3.350023320814349,7.189590622376978,9.992428774452184
6bba_0e7c0d07,209,198,84,1,0.004784688995215311,0.009302532603373838,11,12,0,3.5297619610570585,5.776695898233562,15.554654146749776
6bba_12665c0e,1036,998,100,3,0.0028957528957528956,0.12460909309598268,38,41,0,2.4375,5.58501412822743,16.35124708546721
6bba_13f19531,737,704,100,0,0.0,0.1276632600034644,33,33,0,2.7252078475778685,4.72188495641877,10.017172754824587
6bba_15403b9a,758,729,100,0,0.0,0.11003048337930034,29,29,0,2.6012692214570947,4.945578288472207,17.967092314840485
6bba_1d0d8384,1438,1365,100,1,0.0006954102920723226,0.08029482383159306,73,74,0,1.7235727791422095,3.9804208320226646,14.647552056572456
6bba_1ebfb80d,745,719,100,0,0.0,0.06445751860183423,26,26,0,1.8168052317185792,4.394265616971737,12.955490209270353
6bba_1f58c2f6,317,299,99,0,0.0,0.010967719613880912,18,18,0,2.03125,5.343384490423649,12.119602535768243
6bba_207c6aaf,475,450,100,1,0.002105263157894737,0.03958663221935161,25,26,0,2.9575446425202108,6.099142804235877,18.240579760522966
6bba_20852818,952,909,100,3,0.0031512605042016808,0.0975609756097561,43,46,0,1.8168052317185792,5.202538442914189,13.363093415261304
6bba_2312ac41,1156,1132,100,2,0.0017301038062283738,0.09673640167364017,24,26,0,1.8168052317185792,3.2752922102462856,9.165417765301264
6bba_23af9eeb,513,499,100,0,0.0,0.1152808988764045,14,14,0,1.4647552056572457,3.2803118885737,10.34941310232131
6bba_2540cd90,529,523,100,0,0.0,0.13983610890827386,6,6,0,1.21875,2.368824207280903,7.3125
6bba_2646afc7,738,721,100,0,0.0,0.1343039126478617,17,17,0,1.284675299443404,3.300390601883359,15.506834430743755
6bba_268e1230,641,609,100,1,0.0015600624024961,0.12551400039161933,32,33,0,2.9575446425202108,6.104382026507121,15.254673976358852
6bba_2819ca14,986,949,100,1,0.0010141987829614604,0.17817130466208891,37,38,0,2.8726212985703494,5.525597394173774,21.695423624580368
6bba_283bf9f1,1342,1288,100,0,0.0,0.06433056900436221,54,54,0,2.8726212985703494,4.958913218891817,9.89283397528231
6bba_312f0dc3,520,500,81,0,0.0,0.05219311452373783,20,20,0,2.9575446425202108,4.912088139682247,9.492698674507688
6bba_32db13fc,862,811,99,1,0.001160092807424594,0.0222710244154502,51,52,0,2.4375,5.658407737606049,9.992428774452184
6bba_337b1b3a,1272,1213,81,2,0.0015723270440251573,0.04173228346456693,59,61,0,2.1877232028983924,4.0827619710803615,21.003557176404666
6bba_372c8cb8,1036,1007,100,0,0.0,0.14755732801595214,29,29,0,1.1490485194281397,3.2752922102462856,7.4908798715504705
6bba_3a1849c2,1173,1142,100,0,0.0,0.1674996430101385,31,31,0,1.284675299443404,3.2727629892216594,8.826009149100175
6bba_3abfe10a,997,935,82,1,0.0010030090270812437,0.019149140497455103,62,63,0,1.6750116604071745,3.4181137126948404,12.160386507015309
6bba_3c5691b6,765,746,100,2,0.00261437908496732,0.12224352828379674,19,21,0,0.9084026158592896,2.632800908728193,13.528795966844203
6bba_3db54e20,502,474,95,1,0.00199203187250996,0.021604406954725427,28,29,0,3.5648292823780494,5.87308811976289,11.668642875780371
6bba_3fda6b25,1207,1179,99,1,0.0008285004142502071,0.12263767526925422,28,29,0,1.21875,2.632800908728193,8.83535378819094
6bba_43fea39d,910,880,100,0,0.0,0.1583159359777314,30,30,0,1.7235727791422095,4.162823748671087,24.381769893200946
6bba_474be664,292,286,100,1,0.003424657534246575,0.010320573993567313,6,7,0,1.4647552056572457,3.300390601883359,8.295859754268994
6bba_48816121,935,918,100,5,0.0053475935828877,0.03901523054454413,17,22,0,2.0714766773970688,3.6787502123683256,11.788252229444364
6bba_4aa14c89,707,681,100,0,0.0,0.10416973626049801,26,26,0,1.6750116604071745,3.5648292823780494,9.766912415139188
6bba_4f99ce20,1057,1010,99,2,0.001892147587511826,0.1772003352891869,47,49,0,2.0714766773970688,5.5270887861964475,12.481861840286488
6bba_4ffd3da3,706,689,100,3,0.00424929178470255,0.040029483472245844,17,20,0,2.0714766773970688,4.0827619710803615,12.929987251057133
6bba_55b7eebe,705,688,100,1,0.0014184397163120568,0.13410690507894235,17,18,0,1.284675299443404,2.4770551796660514,8.285906709588275
6bba_55c70843,490,467,82,0,0.0,0.013835945220951574,23,23,0,1.4647552056572457,3.2752922102462856,9.518741792511236
6bba_57b7cc1e,1659,1592,100,3,0.0018083182640144665,0.025323991390758804,67,70,0,1.6750116604071745,3.65625,9.834271229989541
6bba_5a4d9360,747,722,100,0,0.0,0.125,25,25,0,2.8145825622994254,5.656947500916842,16.37646105123143
6bba_5b28472a,737,724,100,0,0.0,0.12702516373664255,13,13,0,1.21875,2.4375,8.53125
6bba_5c039895,1174,1145,100,3,0.002555366269165247,0.1369894982497083,29,32,0,2.0714766773970688,3.536775425321266,9.27282867104208
6bba_5c824876,1170,1130,100,1,0.0008547008547008547,0.04747028035866434,40,41,0,2.7252078475778685,4.341351376478627,13.006346107285474
6bba_5dfe9ad1,1542,1487,100,0,0.0,0.05729573068777171,55,55,0,2.4375,4.241374519244911,9.859412143353172
6bba_5f89039d,904,885,100,0,0.0,0.19605291693775753,19,19,0,1.6750116604071745,3.65625,7.267220926874317
6bba_61dd1e0d,558,543,100,0,0.0,0.05509478672985782,15,15,0,1.6750116604071745,3.605827298696942,8.919014975040685
6bba_61ecbe65,640,614,100,1,0.0015625,0.11084170419120194,26,27,0,2.6012692214570947,5.6540270275384295,15.400036779582702
6bba_6321a359,827,798,99,1,0.0012091898428053204,0.17154117403028418,29,30,0,1.86167137607581,5.154734625807618,11.774243606278919
6bba_6479435d,617,580,95,0,0.0,0.02630793501897412,37,37,0,2.0714766773970688,5.156332996969519,9.884489111734608
6bba_67ebd073,462,438,100,1,0.0021645021645021645,0.02876533217109769,24,25,0,2.03125,6.563169608695177,14.67569339290311
6bba_6ca87370,1081,1052,100,1,0.0009250693802035153,0.15024322446143154,29,30,0,1.6750116604071745,4.375446405796785,21.050650413051375
6bba_6db0e9b4,449,440,88,0,0.0,0.015790399155969755,9,9,0,1.625,3.3078081361260714,8.375058302035873
6bba_6feb10f0,1368,1343,100,0,0.0,0.15436696005416384,25,25,0,1.21875,2.333728575156074,8.30580087198098
6bba_6feeb0b1,1389,1343,100,0,0.0,0.18475658419792498,46,46,0,1.6750116604071745,3.374565944310468,12.167170544645948
6bba_705ec2c9,596,562,100,1,0.0016778523489932886,0.10642857142857143,34,35,0,1.6750116604071745,4.235497041798018,9.690574109024707
6bba_718b21f9,661,652,100,0,0.0,0.15350673478866697,9,9,0,1.21875,2.4375,8.135149910265945
6bba_74686d6a,586,576,100,2,0.0034129692832764505,0.019662450088917222,10,12,0,1.2517126497217022,3.1729139308370784,13.214057973423607
6bba_767a1e17,718,658,47,0,0.0,0.015047994299367063,60,60,0,2.943527526917351,6.214430032191206,12.75650875533741
6bba_76db78c1,617,604,100,0,0.0,0.1270854788877446,13,13,0,1.284675299443404,2.8726212985703494,9.561989365451103
6bba_784a78c9,1788,1739,100,1,0.0005592841163310962,0.13653023824068417,49,50,0,1.7235727791422095,2.8726212985703494,8.53125
6bba_786893ac,1465,1395,100,3,0.0020477815699658703,0.024839349599009818,70,73,0,1.625,3.374565944310468,9.89283397528231
6bba_789f8168,713,681,100,0,0.0,0.06678531285125515,32,32,0,2.7252078475778685,5.998209368219819,9.95934117110665
6bba_78a7bd97,886,832,94,2,0.002257336343115124,0.021815674783936177,54,56,0,2.0714766773970688,5.1531312830042175,14.591106559305226
6bba_7af54fde,1131,1092,100,2,0.0017683465959328027,0.11751870324189526,39,41,0,1.284675299443404,2.6012692214570947,9.78379559526874
6bba_7b5d3b2c,565,555,100,0,0.0,0.09775086505190311,10,10,0,0.9084026158592896,2.2980970388562794,7.187296192762616
6bba_7d3058ae,1200,1173,100,2,0.0016666666666666668,0.15766653527788727,27,29,0,1.4647552056572457,3.471001521535247,8.83535378819094
6bba_7f87b3d8,1000,934,99,3,0.003,0.09450902561194593,66,69,0,3.040096626753827,7.462176414689009,15.118832678566822
6bba_80d12824,680,654,100,1,0.0014705882352941176,0.07537966965968296,26,27,0,1.86167137607581,5.28125,15.691981431610222
6bba_825bd1c6,968,930,100,0,0.0,0.12760348009491168,38,38,0,1.6750116604071745,4.241374519244911,9.901171805650076
6bba_87289e13,724,699,100,1,0.0013812154696132596,0.04837631965789122,25,26,0,2.632800908728193,5.8814883528183985,18.058715001350457
6bba_8b7818bf,741,725,100,2,0.002699055330634278,0.12714481811942346,16,18,0,1.6750116604071745,3.4614591362349163,11.640320885289203
6bba_907271db,945,921,100,1,0.0010582010582010583,0.1293457432247468,24,25,0,2.1877232028983924,3.65625,9.690574109024707
6bba_91951b3a,1188,1148,100,0,0.0,0.09977324263038549,40,40,0,2.368824207280903,4.461325419780328,19.295805891436615
6bba_96833384,758,721,98,0,0.0,0.15567878414458822,37,37,0,2.1877232028983924,4.5420130792964475,9.825876630738858
6bba_969618f6,679,658,100,3,0.004418262150220913,0.04889112903225806,21,24,0,2.1877232028983924,3.838996153927662,12.846752994434041
6bba_971fa5e0,792,767,100,0,0.0,0.1412016402210733,25,25,0,2.03125,5.202538442914189,15.822902951497237
6bba_9a41d029,1401,1353,100,2,0.0014275517487508922,0.07684712851736054,48,50,0,1.7235727791422095,3.832554834897995,9.992428774452184
6bba_9e23430b,914,891,100,1,0.0010940919037199124,0.11857810067462377,23,24,0,1.6750116604071745,3.5648292823780494,14.471854418577461
6bba_a5e926bb,741,698,100,0,0.0,0.08779620853080569,43,43,0,2.8726212985703494,6.550584420492571,19.338524132544343
6bba_a90a0b9c,1147,1112,100,0,0.0,0.031087380745880314,35,35,0,1.625,3.297880762719651,10.017172754824587
6bba_ab78413d,1179,1138,100,2,0.0016963528413910093,0.1275835948490423,41,43,0,1.625,2.9295104113144914,9.792226269470085
6bba_acd782a8,356,330,88,0,0.0,0.018061897513952308,26,26,0,3.300390601883359,6.558099677174257,20.909052502743876
6bba_ae82a791,1495,1471,100,0,0.0,0.20194515736863433,24,24,0,1.4647552056572457,3.832554834897995,9.484001743067111
6bba_aeee7805,795,768,100,1,0.0012578616352201257,0.15792610250297973,27,28,0,1.284675299443404,2.8319941831807065,6.858289350304491
6bba_af149c94,1350,1317,100,0,0.0,0.15112504197917834,33,33,0,1.284675299443404,3.350023320814349,7.501887783251626
6bba_afb141ff,654,626,100,4,0.0061162079510703364,0.10802775024777007,28,32,0,1.8168052317185792,4.4687118464808995,13.18279685091521
6bba_b1ae37b9,612,579,88,0,0.0,0.02518725821055231,33,33,0,1.625,3.374565944310468,9.917826437783633
6bba_b204cac7,826,811,100,2,0.002421307506053269,0.1622152395915161,15,17,0,1.284675299443404,3.040096626753827,10.847711812290184
6bba_b329af44,1316,1268,100,1,0.0007598784194528875,0.02106779796686144,48,49,0,1.6750116604071745,3.65625,9.65645226325383
6bba_b693381b,983,935,99,0,0.0,0.17686218064051817,48,48,0,2.4375,6.214430032191206,14.715000849473302
6bba_bb9f20c3,1925,1879,96,3,0.0015584415584415584,0.0834380824411599,46,49,0,1.625,3.2752922102462856,10.694487847134148
6bba_bbb708ca,892,861,100,0,0.0,0.13146647015475313,31,31,0,1.86167137607581,4.908737426772795,15.691981431610222
6bba_c27cba08,517,493,100,0,0.0,0.08021722265321955,24,24,0,2.0714766773970688,3.9804208320226646,7.835466243306776
6bba_c328f2fd,511,500,96,2,0.003913894324853229,0.016363519918022287,11,13,0,1.7235727791422095,4.492661429838738,13.381606137250492
6bba_c73a1d11,737,710,95,0,0.0,0.045173153539687406,27,27,0,3.093907824257213,6.26070201457878,14.500336741779481
6bba_cdcfe533,1419,1348,82,4,0.0028188865398167725,0.047641430250125905,71,75,0,2.569350598886808,4.503628463051559,10.694487847134148
6bba_cf35214c,842,817,100,0,0.0,0.02413298939524219,25,25,0,2.333728575156074,3.771649083407754,8.165523942160723
6bba_cff5865f,1571,1501,97,0,0.0,0.033885509684655535,70,70,0,2.0714766773970688,4.375446405796785,15.314062420288746
6bba_d0fc38b5,835,813,100,0,0.0,0.13663884797905415,22,22,0,1.284675299443404,2.8668470388562817,9.926143274832375
6bba_d1acb6ff,681,643,100,1,0.0014684287812041115,0.04626673007677152,38,39,0,3.093907824257213,5.525597394173774,18.99408830728656
6bba_d2b9fc0c,944,921,100,2,0.00211864406779661,0.04678362573099415,23,25,0,2.1877232028983924,3.6787502123683256,8.99272709610383
6bba_d3da753b,887,857,100,1,0.0011273957158962795,0.051432216166067496,30,31,0,3.040096626753827,5.58501412822743,18.920087911066904
6bba_d5eae175,528,519,98,0,0.0,0.11684000885151583,9,9,0,1.284675299443404,3.2803118885737,8.175623542733605
6bba_d6ecebbb,886,862,100,0,0.0,0.1653293524911364,24,24,0,1.21875,2.9575446425202108,10.058277452551208
6bba_d82a4fc6,545,530,100,0,0.0,0.019663732140279982,15,15,0,1.4647552056572457,2.878310209844765,12.295356084717515
6bba_debd7bfa,766,729,100,4,0.005221932114882507,0.0648767680189718,37,41,0,3.040096626753827,6.214430032191206,11.353215747641723
6bba_df673a83,668,654,99,4,0.005988023952095809,0.03472113935235719,14,18,0,1.7235727791422095,3.2752922102462856,8.384905522723557
6bba_e16ffc58,964,942,100,1,0.001037344398340249,0.1514056855662007,22,23,0,1.6750116604071745,3.6539860463437153,13.350737339188424
6bba_e5e44988,666,634,100,0,0.0,0.11861086375779163,32,32,0,3.350023320814349,6.182284018648048,26.558933584106875
6bba_ebdf3b34,847,803,99,2,0.0023612750885478157,0.01489964290112055,44,46,0,1.86167137607581,4.726850077176432,11.753199364960164
6bba_ebff6e76,1318,1264,100,0,0.0,0.03168573901336667,54,54,0,1.6750116604071745,3.059013155556269,9.510068677459696
6bba_ed9377fd,531,508,100,0,0.0,0.11951384199864956,23,23,0,1.21875,2.4375,10.546863425919575
6bba_edf14583,801,760,100,0,0.0,0.013520812936767834,41,41,0,1.4647552056572457,2.8726212985703494,7.729433396116432
6bba_eebc57a5,1026,989,100,0,0.0,0.10976783994864663,37,37,0,1.6750116604071745,4.0010984819796676,9.992428774452184
6bba_ef7b4f7e,1234,1201,98,2,0.0016207455429497568,0.20206320615686918,33,35,0,1.625,3.2752922102462856,9.352577351992338
6bba_f17befbc,1078,1015,99,0,0.0,0.04318391219004126,63,63,0,2.368824207280903,5.119339882662191,13.157734476820089
6bba_f1fde7e0,476,446,99,0,0.0,0.05265486725663717,30,30,0,3.0671202393287422,7.702650559932987,17.202181229788856
6bba_f20478e9,1003,963,100,1,0.0009970089730807576,0.16792231709358782,40,41,0,2.471122277933652,6.039340428598143,60.758487061479734
6bba_f4ae811c,1001,965,100,0,0.0,0.11243401100752555,36,36,0,2.4375,4.938842902044209,19.83981260149652
6bba_f8ffd5e7,389,370,93,2,0.005141388174807198,0.013168584969532836,19,21,0,2.6012692214570947,4.912088139682247,10.405076885828379
6bba_fbc898dc,655,639,100,0,0.0,0.13397422785845775,16,16,0,1.284675299443404,2.3825593658247257,8.414378040740742
6bba_fc516dc6,788,762,100,0,0.0,0.10017798118484618,26,26,0,2.3159128070061765,5.983055699587085,15.639305950872629
6bba_fc5f39dc,471,458,100,2,0.004246284501061571,0.03359486447931526,13,15,0,2.0714766773970688,4.182599744775969,8.002196963959335
6bba_fc83837d,957,923,100,0,0.0,0.07312600290364484,34,34,0,1.6750116604071745,3.8540258983302125,16.779649597801498
6bba_fe670320,716,680,100,2,0.002793296089385475,0.06607604282022887,36,38,0,2.9575446425202108,5.343384490423649,9.884489111734608
